country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,beer_liters_of_pure_alc,spirit_liters_of_pure_alc,wine_liters_of_pure_alc
Afghanistan,0,0,0,0,0.00,0.00,0.00
Albania,89,132,54,4.9,1.58,2.34,0.96
Algeria,25,0,14,0.7,0.44,0.00,0.25
Andorra,245,138,312,12.4,4.35,2.45,5.54
Angola,217,57,45,5.9,3.85,1.01,0.80
Antigua & Barbuda,102,128,45,4.9,1.81,2.27,0.80
Argentina,193,25,221,8.3,3.42,0.44,3.92
Armenia,21,179,11,3.8,0.37,3.18,0.20
Australia,261,72,212,10.4,4.63,1.28,3.76
Austria,279,75,191,9.7,4.95,1.33,3.39
Azerbaijan,21,46,5,1.3,0.37,0.82,0.09
Bahamas,122,176,51,6.3,2.16,3.12,0.90
Bahrain,42,63,7,2,0.75,1.12,0.12
Bangladesh,0,0,0,0,0.00,0.00,0.00
Barbados,143,173,36,6.3,2.54,3.07,0.64
Belarus,142,373,42,14.4,2.52,6.62,0.75
Belgium,295,84,212,10.5,5.23,1.49,3.76
Belize,263,114,8,6.8,4.67,2.02,0.14
Benin,34,4,13,1.1,0.60,0.07,0.23
Bhutan,23,0,0,0.4,0.41,0.00,0.00
Bolivia,167,41,8,3.8,2.96,0.73,0.14
Bosnia-Herzegovina,76,173,8,4.6,1.35,3.07,0.14
Botswana,173,35,35,5.4,3.07,0.62,0.62
Brazil,245,145,16,7.2,4.35,2.57,0.28
Brunei,31,2,1,0.6,0.55,0.04,0.02
Bulgaria,231,252,94,10.3,4.10,4.47,1.67
Burkina Faso,25,7,7,4.3,0.44,0.12,0.12
Burundi,88,0,0,6.3,1.56,0.00,0.00
Cote d'Ivoire,37,1,7,4,0.66,0.02,0.12
Cabo Verde,144,56,16,4,2.56,0.99,0.28
Cambodia,57,65,1,2.2,1.01,1.15,0.02
Cameroon,147,1,4,5.8,2.61,0.02,0.07
Canada,240,122,100,8.2,4.26,2.16,1.77
Central African Republic,17,2,1,1.8,0.30,0.04,0.02
Chad,15,1,1,0.4,0.27,0.02,0.02
Chile,130,124,172,7.6,2.31,2.20,3.05
China,79,192,8,5,1.40,3.41,0.14
Colombia,159,76,3,4.2,2.82,1.35,0.05
Comoros,1,3,1,0.1,0.02,0.05,0.02
Congo,76,1,9,1.7,1.35,0.02,0.16
Cook Islands,0,254,74,5.9,0.00,4.51,1.31
Costa Rica,149,87,11,4.4,2.64,1.54,0.20
Croatia,230,87,254,10.2,4.08,1.54,4.51
Cuba,93,137,5,4.2,1.65,2.43,0.09
Cyprus,192,154,113,8.2,3.41,2.73,2.01
Czech Republic,361,170,134,11.8,6.41,3.02,2.38
North Korea,0,0,0,0,0.00,0.00,0.00
DR Congo,32,3,1,2.3,0.57,0.05,0.02
Denmark,224,81,278,10.4,3.97,1.44,4.93
Djibouti,15,44,3,1.1,0.27,0.78,0.05
Dominica,52,286,26,6.6,0.92,5.07,0.46
Dominican Republic,193,147,9,6.2,3.42,2.61,0.16
Ecuador,162,74,3,4.2,2.87,1.31,0.05
Egypt,6,4,1,0.2,0.11,0.07,0.02
El Salvador,52,69,2,2.2,0.92,1.22,0.04
Equatorial Guinea,92,0,233,5.8,1.63,0.00,4.13
Eritrea,18,0,0,0.5,0.32,0.00,0.00
Estonia,224,194,59,9.5,3.97,3.44,1.05
Ethiopia,20,3,0,0.7,0.35,0.05,0.00
Fiji,77,35,1,2,1.37,0.62,0.02
Finland,263,133,97,10,4.67,2.36,1.72
France,127,151,370,11.8,2.25,2.68,6.57
Gabon,347,98,59,8.9,6.16,1.74,1.05
Gambia,8,0,1,2.4,0.14,0.00,0.02
Georgia,52,100,149,5.4,0.92,1.77,2.64
Germany,346,117,175,11.3,6.14,2.08,3.11
Ghana,31,3,10,1.8,0.55,0.05,0.18
Greece,133,112,218,8.3,2.36,1.99,3.87
Grenada,199,438,28,11.9,3.53,7.77,0.50
Guatemala,53,69,2,2.2,0.94,1.22,0.04
Guinea,9,0,2,0.2,0.16,0.00,0.04
Guinea-Bissau,28,31,21,2.5,0.50,0.55,0.37
Guyana,93,302,1,7.1,1.65,5.36,0.02
Haiti,1,326,1,5.9,0.02,5.78,0.02
Honduras,69,98,2,3,1.22,1.74,0.04
Hungary,234,215,185,11.3,4.15,3.81,3.28
Iceland,233,61,78,6.6,4.13,1.08,1.38
India,9,114,0,2.2,0.16,2.02,0.00
Indonesia,5,1,0,0.1,0.09,0.02,0.00
Iran,0,0,0,0,0.00,0.00,0.00
Iraq,9,3,0,0.2,0.16,0.05,0.00
Ireland,313,118,165,11.4,5.55,2.09,2.93
Israel,63,69,9,2.5,1.12,1.22,0.16
Italy,85,42,237,6.5,1.51,0.75,4.21
Jamaica,82,97,9,3.4,1.46,1.72,0.16
Japan,77,202,16,7,1.37,3.58,0.28
Jordan,6,21,1,0.5,0.11,0.37,0.02
Kazakhstan,124,246,12,6.8,2.20,4.37,0.21
Kenya,58,22,2,1.8,1.03,0.39,0.04
Kiribati,21,34,1,1,0.37,0.60,0.02
Kuwait,0,0,0,0,0.00,0.00,0.00
Kyrgyzstan,31,97,6,2.4,0.55,1.72,0.11
Laos,62,0,123,6.2,1.10,0.00,2.18
Latvia,281,216,62,10.5,4.99,3.83,1.10
Lebanon,20,55,31,1.9,0.35,0.98,0.55
Lesotho,82,29,0,2.8,1.46,0.51,0.00
Liberia,19,152,2,3.1,0.34,2.70,0.04
Libya,0,0,0,0,0.00,0.00,0.00
Lithuania,343,244,56,12.9,6.09,4.33,0.99
Luxembourg,236,133,271,11.4,4.19,2.36,4.81
Madagascar,26,15,4,0.8,0.46,0.27,0.07
Malawi,8,11,1,1.5,0.14,0.20,0.02
Malaysia,13,4,0,0.3,0.23,0.07,0.00
Maldives,0,0,0,0,0.00,0.00,0.00
Mali,5,1,1,0.6,0.09,0.02,0.02
Malta,149,100,120,6.6,2.64,1.77,2.13
Marshall Islands,0,0,0,0,0.00,0.00,0.00
Mauritania,0,0,0,0,0.00,0.00,0.00
Mauritius,98,31,18,2.6,1.74,0.55,0.32
Mexico,238,68,5,5.5,4.22,1.21,0.09
Micronesia,62,50,18,2.3,1.10,0.89,0.32
Monaco,0,0,0,0,0.00,0.00,0.00
Mongolia,77,189,8,4.9,1.37,3.35,0.14
Montenegro,31,114,128,4.9,0.55,2.02,2.27
Morocco,12,6,10,0.5,0.21,0.11,0.18
Mozambique,47,18,5,1.3,0.83,0.32,0.09
Myanmar,5,1,0,0.1,0.09,0.02,0.00
Namibia,376,3,1,6.8,6.67,0.05,0.02
Nauru,49,0,8,1,0.87,0.00,0.14
Nepal,5,6,0,0.2,0.09,0.11,0.00
Netherlands,251,88,190,9.4,4.45,1.56,3.37
New Zealand,203,79,175,9.3,3.60,1.40,3.11
Nicaragua,78,118,1,3.5,1.38,2.09,0.02
Niger,3,2,1,0.1,0.05,0.04,0.02
Nigeria,42,5,2,9.1,0.75,0.09,0.04
Niue,188,200,7,7,3.34,3.55,0.12
Norway,169,71,129,6.7,3.00,1.26,2.29
Oman,22,16,1,0.7,0.39,0.28,0.02
Pakistan,0,0,0,0,0.00,0.00,0.00
Palau,306,63,23,6.9,5.43,1.12,0.41
Panama,285,104,18,7.2,5.06,1.85,0.32
Papua New Guinea,44,39,1,1.5,0.78,0.69,0.02
Paraguay,213,117,74,7.3,3.78,2.08,1.31
Peru,163,160,21,6.1,2.89,2.84,0.37
Philippines,71,186,1,4.6,1.26,3.30,0.02
Poland,343,215,56,10.9,6.09,3.81,0.99
Portugal,194,67,339,11,3.44,1.19,6.02
Qatar,1,42,7,0.9,0.02,0.75,0.12
